_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,IsReliable,TotalTimeTaken
0, ../data/test/P307/L28.xes, ../data/test/P307/P307.apnml, L28, P307, true, na, na, na, na, na, na, na, na, na, na, 1.5520000000000018, 1.5520000000000018, na, na, 660, 20437
1, ../data/test/P307/P307_swapped_E_G.xes, ../data/test/P307/P307.apnml, P307_swapped_E_G, P307, true, na, na, na, na, na, na, na, na, na, na, 1.1059999999999988, 1.1059999999999988, na, na, 581, 16421
