Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1, 70.0
net2, net2-60-10, 2, 593, 13, 580, 0, 0, 76, 6, 139, 208.0
net2, net2-60-10, 3, 580, 1, 579, 0, 0, 70, 5, 129, 208.0
net2, net2-60-10, 4, 579, 2, 577, 0, 0, 67, 3, 126, 336.0
net2, net2-60-10, 5, 577, 0, 577, 0, 0, 63, 4, 120, 336.0
net2, net2-60-10, 6, 577, 13, 564, 0, 0, 54, 12, 108, 1038.0
net2, net2-60-10, 7, 564, 39, 525, 0, 0, 40, 15, 78, 3658.0
net2, net2-60-10, 8, 525, 8, 517, 0, 0, 37, 4, 67, 4224.0
net2, net2-60-10, 9, 517, 58, 459, 0, 0, 29, 10, 52, 8980.0
net2, net2-60-10, 10, 459, 25, 434, 0, 0, 26, 3, 49, 11728.0
net2, net2-60-10, 11, 434, 36, 398, 0, 0, 24, 2, 46, 15176.0
net2, net2-60-10, 12, 398, 27, 371, 0, 0, 23, 1, 45, 17640.0
net2, net2-60-10, 13, 371, 16, 355, 0, 0, 22, 1, 44, 19250.0
net2, net2-60-10, 14, 355, 32, 323, 0, 0, 20, 3, 41, 22154.0
net2, net2-60-10, 15, 323, 15, 308, 0, 0, 19, 1, 40, 23646.0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1, 0.0
net3, net3-10-10, 2, 120, 17, 103, 0, 0, 74, 6, 138, 0.0
net3, net3-10-10, 3, 103, 3, 100, 0, 0, 68, 3, 130, 36.0
net3, net3-10-10, 4, 100, 0, 100, 0, 0, 66, 2, 127, 36.0
net3, net3-10-10, 5, 100, 1, 99, 0, 0, 64, 2, 122, 186.0
net3, net3-10-10, 6, 99, 2, 97, 0, 0, 56, 10, 104, 252.0
net3, net3-10-10, 7, 97, 9, 88, 0, 0, 44, 13, 88, 808.0
net3, net3-10-10, 8, 88, 0, 88, 0, 0, 42, 2, 85, 808.0
net3, net3-10-10, 9, 88, 5, 83, 0, 0, 32, 11, 63, 1114.0
net3, net3-10-10, 10, 83, 3, 80, 0, 0, 31, 1, 62, 1466.0
net3, net3-10-10, 11, 80, 8, 72, 0, 0, 30, 1, 58, 2118.0
net3, net3-10-10, 12, 72, 15, 57, 0, 0, 20, 15, 40, 3362.0
net3, net3-10-10, 13, 57, 10, 47, 0, 0, 18, 2, 38, 4246.0
net3, net3-10-10, 14, 47, 3, 44, 0, 0, 17, 1, 37, 4544.0
net3, net3-10-10, 15, 44, 11, 33, 0, 0, 15, 2, 34, 5648.0
net3, net3-10-10, 16, 33, 2, 31, 0, 0, 14, 1, 33, 5770.0
net3, net3-10-10, 17, 31, 6, 25, 0, 0, 13, 2, 29, 6614.0
