Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net2, net2-60-10, 16, 3, 3, 0, 0, 0, 1, 2, 0

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 10, 9, 1, 0, 607, 76, 32, 113
net2, net2-60-60, 3, 13, 0, 13, 0, 595, 47, 63, 45
net2, net2-60-60, 4, 158, 124, 34, 0, 450, 10, 4, 20
net2, net2-60-60, 5, 116, 105, 11, 0, 368, 6, 3, 17
net2, net2-60-60, 6, 240, 0, 0, 240, 139, 4, 2, 6

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 20, 19, 1, 0, 100, 74, 9, 135
net3, net3-10-10, 3, 4, 2, 2, 0, 97, 65, 19, 113
net3, net3-10-10, 4, 7, 5, 2, 0, 92, 48, 8, 96
net3, net3-10-10, 5, 13, 9, 4, 0, 81, 43, 10, 85
net3, net3-10-10, 6, 9, 1, 8, 0, 76, 33, 10, 66
net3, net3-10-10, 7, 11, 8, 3, 0, 73, 27, 10, 53
net3, net3-10-10, 8, 20, 20, 0, 0, 56, 21, 12, 42
net3, net3-10-10, 9, 21, 20, 1, 0, 35, 14, 7, 28
net3, net3-10-10, 10, 8, 8, 0, 0, 28, 9, 6, 22
net3, net3-10-10, 11, 19, 19, 0, 0, 9, 6, 6, 15
net3, net3-10-10, 12, 9, 9, 0, 0, 0, 3, 6, 6

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 27, 26, 1, 0, 87, 74, 24, 120
net3, net3-10-60, 3, 4, 1, 3, 0, 84, 52, 46, 64
net3, net3-10-60, 4, 15, 4, 11, 0, 72, 18, 24, 28
net3, net3-10-60, 5, 30, 29, 1, 0, 53, 8, 3, 18
net3, net3-10-60, 6, 20, 20, 0, 0, 34, 6, 6, 13
net3, net3-10-60, 7, 25, 25, 0, 0, 9, 3, 13, 4
net3, net3-10-60, 8, 8, 8, 0, 0, 1, 2, 5, 1
net3, net3-10-60, 9, 1, 1, 0, 0, 0, 1, 2, 0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 13, 13, 0, 0, 577, 74, 4, 140
net3, net3-60-10, 3, 6, 4, 2, 0, 571, 70, 27, 113
net3, net3-60-10, 4, 24, 12, 12, 0, 549, 51, 19, 78
net3, net3-60-10, 5, 24, 21, 3, 0, 537, 35, 3, 63
net3, net3-60-10, 6, 85, 54, 31, 0, 455, 33, 16, 52
net3, net3-60-10, 7, 46, 39, 7, 0, 440, 25, 3, 46
net3, net3-60-10, 8, 39, 35, 4, 0, 408, 22, 4, 42
net3, net3-60-10, 9, 54, 52, 2, 0, 358, 18, 3, 35
