Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-60, 41, 32, 0, 32, 0, 968, 23, 1, 62
net1, net1-10-60, 42, 37, 1, 36, 0, 963, 22, 1, 57
net1, net1-10-60, 43, 42, 0, 42, 0, 958, 21, 1, 55
net1, net1-10-60, 44, 30, 2, 28, 0, 970, 20, 1, 52
net1, net1-10-60, 45, 24, 1, 23, 0, 976, 19, 1, 51
net1, net1-10-60, 46, 23, 1, 22, 0, 977, 18, 1, 47

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 118, 1, 117, 0, 882, 68, 1, 133
net1, net1-60-10, 3, 165, 0, 165, 0, 835, 65, 1, 131
net1, net1-60-10, 4, 164, 1, 163, 0, 836, 64, 1, 129
net1, net1-60-10, 5, 108, 1, 107, 0, 892, 63, 1, 125
net1, net1-60-10, 6, 69, 3, 66, 0, 931, 62, 1, 124
net1, net1-60-10, 7, 120, 2, 118, 0, 880, 61, 1, 121
net1, net1-60-10, 8, 101, 0, 101, 0, 899, 60, 1, 120
net1, net1-60-10, 9, 105, 3, 102, 0, 895, 59, 1, 117
net1, net1-60-10, 10, 91, 2, 89, 0, 909, 58, 1, 116
net1, net1-60-10, 11, 99, 3, 96, 0, 901, 57, 1, 114
net1, net1-60-10, 12, 78, 0, 78, 0, 922, 56, 1, 112
net1, net1-60-10, 13, 56, 0, 56, 0, 944, 55, 1, 111
net1, net1-60-10, 14, 84, 1, 83, 0, 916, 54, 1, 110
net1, net1-60-10, 15, 69, 2, 67, 0, 931, 53, 1, 109
net1, net1-60-10, 16, 78, 1, 77, 0, 922, 52, 1, 108
net1, net1-60-10, 17, 69, 1, 68, 0, 931, 51, 1, 107
net1, net1-60-10, 18, 89, 4, 85, 0, 911, 50, 1, 106
net1, net1-60-10, 19, 74, 3, 71, 0, 926, 49, 1, 104
net1, net1-60-10, 20, 94, 1, 93, 0, 906, 48, 1, 102
net1, net1-60-10, 21, 86, 7, 79, 0, 914, 47, 1, 101
net1, net1-60-10, 22, 57, 5, 52, 0, 943, 46, 1, 99
net1, net1-60-10, 23, 158, 7, 151, 0, 842, 44, 2, 93
net1, net1-60-10, 24, 68, 4, 64, 0, 932, 43, 1, 90
net1, net1-60-10, 25, 110, 4, 106, 0, 890, 41, 2, 88
net1, net1-60-10, 26, 62, 3, 59, 0, 938, 40, 1, 86
net1, net1-60-10, 27, 77, 3, 74, 0, 923, 39, 1, 85
net1, net1-60-10, 28, 78, 8, 70, 0, 922, 38, 1, 84
net1, net1-60-10, 29, 79, 14, 65, 0, 921, 37, 1, 83
net1, net1-60-10, 30, 61, 8, 53, 0, 939, 36, 1, 81
net1, net1-60-10, 31, 62, 6, 56, 0, 938, 35, 1, 76
net1, net1-60-10, 32, 81, 17, 64, 0, 919, 34, 1, 74
net1, net1-60-10, 33, 49, 4, 45, 0, 951, 33, 1, 72
net1, net1-60-10, 34, 52, 17, 35, 0, 948, 32, 1, 71
net1, net1-60-10, 35, 48, 6, 42, 0, 952, 31, 1, 70
net1, net1-60-10, 36, 44, 5, 39, 0, 956, 30, 1, 69
net1, net1-60-10, 37, 111, 15, 96, 0, 889, 28, 2, 66
net1, net1-60-10, 38, 64, 10, 54, 0, 936, 27, 1, 65
net1, net1-60-10, 39, 63, 15, 48, 0, 937, 26, 1, 61
net1, net1-60-10, 40, 36, 8, 28, 0, 964, 25, 1, 60
net1, net1-60-10, 41, 45, 9, 36, 0, 955, 24, 1, 59
net1, net1-60-10, 42, 55, 25, 30, 0, 945, 23, 1, 57
net1, net1-60-10, 43, 38, 16, 22, 0, 962, 22, 1, 55
net1, net1-60-10, 44, 34, 18, 16, 0, 966, 21, 1, 51
net1, net1-60-10, 45, 32, 19, 13, 0, 968, 20, 1, 49
net1, net1-60-10, 46, 44, 15, 29, 0, 956, 19, 1, 46
net1, net1-60-10, 47, 32, 16, 16, 0, 968, 18, 1, 45

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 391, 0, 391, 0, 609, 68, 1, 133
net1, net1-60-60, 3, 394, 0, 394, 0, 606, 65, 1, 131
net1, net1-60-60, 4, 302, 0, 302, 0, 698, 64, 1, 128
net1, net1-60-60, 5, 244, 0, 244, 0, 756, 63, 1, 124
net1, net1-60-60, 6, 238, 0, 238, 0, 762, 62, 1, 123
net1, net1-60-60, 7, 270, 0, 270, 0, 730, 61, 1, 122
net1, net1-60-60, 8, 283, 0, 283, 0, 717, 60, 1, 121
net1, net1-60-60, 9, 280, 16, 264, 0, 720, 59, 1, 119
net1, net1-60-60, 10, 299, 0, 299, 0, 701, 58, 1, 118
net1, net1-60-60, 11, 309, 0, 309, 0, 691, 57, 1, 115
net1, net1-60-60, 12, 271, 0, 271, 0, 729, 56, 1, 114
net1, net1-60-60, 13, 345, 0, 345, 0, 655, 55, 1, 112
net1, net1-60-60, 14, 223, 0, 223, 0, 777, 54, 1, 111
net1, net1-60-60, 15, 267, 0, 267, 0, 733, 53, 1, 109
net1, net1-60-60, 16, 202, 0, 202, 0, 798, 52, 1, 108
net1, net1-60-60, 17, 203, 0, 203, 0, 797, 51, 1, 107
net1, net1-60-60, 18, 440, 0, 440, 0, 560, 49, 2, 105
net1, net1-60-60, 19, 298, 0, 298, 0, 702, 48, 1, 104
net1, net1-60-60, 20, 250, 0, 250, 0, 750, 47, 1, 102
net1, net1-60-60, 21, 267, 0, 267, 0, 733, 46, 1, 100

net2, net2-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net2, net2-0-0, 2, 17, 16, 1, 0, 983, 76, 1, 144
net2, net2-0-0, 3, 1, 1, 0, 0, 999, 74, 1, 143

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 36, 18, 18, 0, 964, 76, 1, 144
net2, net2-10-10, 3, 22, 0, 22, 0, 978, 73, 1, 143
net2, net2-10-10, 4, 25, 0, 25, 0, 975, 72, 1, 140
net2, net2-10-10, 5, 39, 0, 39, 0, 961, 70, 2, 137
net2, net2-10-10, 6, 27, 0, 27, 0, 973, 68, 2, 135
net2, net2-10-10, 7, 15, 0, 15, 0, 985, 67, 1, 131
net2, net2-10-10, 8, 28, 0, 28, 0, 972, 65, 2, 128
net2, net2-10-10, 9, 19, 0, 19, 0, 981, 64, 1, 126
net2, net2-10-10, 10, 34, 2, 32, 0, 966, 61, 3, 120
net2, net2-10-10, 11, 22, 2, 20, 0, 978, 59, 2, 117
net2, net2-10-10, 12, 15, 0, 15, 0, 985, 58, 1, 116
net2, net2-10-10, 13, 14, 0, 14, 0, 986, 57, 1, 115
net2, net2-10-10, 14, 38, 1, 37, 0, 962, 53, 4, 111
net2, net2-10-10, 15, 15, 0, 15, 0, 985, 52, 1, 110
net2, net2-10-10, 16, 9, 0, 9, 0, 991, 51, 1, 109
net2, net2-10-10, 17, 8, 0, 8, 0, 992, 50, 1, 108
net2, net2-10-10, 18, 12, 1, 11, 0, 988, 49, 1, 106
net2, net2-10-10, 19, 42, 3, 39, 0, 958, 45, 4, 101
net2, net2-10-10, 20, 11, 1, 10, 0, 989, 44, 1, 99
net2, net2-10-10, 21, 8, 3, 5, 0, 992, 43, 1, 94
net2, net2-10-10, 22, 27, 2, 25, 0, 973, 40, 3, 84
net2, net2-10-10, 23, 7, 1, 6, 0, 993, 39, 1, 83
net2, net2-10-10, 24, 33, 4, 29, 0, 967, 35, 4, 76
net2, net2-10-10, 25, 13, 2, 11, 0, 987, 34, 1, 75
net2, net2-10-10, 26, 10, 1, 9, 0, 990, 33, 1, 74
net2, net2-10-10, 27, 8, 0, 8, 0, 992, 32, 1, 73
net2, net2-10-10, 28, 19, 3, 16, 0, 981, 29, 3, 66
net2, net2-10-10, 29, 7, 2, 5, 0, 993, 28, 1, 64
net2, net2-10-10, 30, 8, 2, 6, 0, 992, 27, 1, 63
net2, net2-10-10, 31, 16, 4, 12, 0, 984, 25, 3, 60
net2, net2-10-10, 32, 19, 2, 17, 0, 981, 23, 2, 55
net2, net2-10-10, 33, 13, 2, 11, 0, 987, 22, 1, 54
net2, net2-10-10, 34, 12, 6, 6, 0, 988, 20, 2, 52
net2, net2-10-10, 35, 4, 0, 4, 0, 996, 19, 1, 50
net2, net2-10-10, 36, 8, 6, 2, 0, 992, 18, 1, 48
net2, net2-10-10, 37, 12, 2, 10, 0, 988, 16, 2, 46
net2, net2-10-10, 38, 7, 2, 5, 0, 993, 15, 1, 45
net2, net2-10-10, 39, 10, 7, 3, 0, 990, 13, 2, 42
net2, net2-10-10, 40, 5, 4, 1, 0, 995, 12, 1, 38
net2, net2-10-10, 41, 10, 8, 2, 0, 990, 10, 3, 29
net2, net2-10-10, 42, 15, 12, 3, 0, 985, 8, 4, 15
net2, net2-10-10, 43, 4, 1, 3, 0, 996, 7, 1, 14
net2, net2-10-10, 44, 5, 2, 3, 0, 995, 6, 1, 13
net2, net2-10-10, 45, 4, 3, 1, 0, 996, 5, 2, 11
net2, net2-10-10, 46, 3, 3, 0, 0, 997, 5, 2, 11
net2, net2-10-10, 47, 12, 12, 0, 0, 988, 2, 12, 3
net2, net2-10-10, 48, 3, 3, 0, 0, 997, 1, 3, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 63, 0, 63, 0, 937, 76, 1, 144
net2, net2-10-60, 3, 63, 0, 63, 0, 937, 73, 1, 142
net2, net2-10-60, 4, 55, 0, 55, 0, 945, 72, 1, 139
net2, net2-10-60, 5, 66, 16, 50, 0, 934, 71, 1, 138
net2, net2-10-60, 6, 51, 0, 51, 0, 949, 70, 1, 137
net2, net2-10-60, 7, 43, 0, 43, 0, 957, 69, 1, 133
net2, net2-10-60, 8, 61, 0, 61, 0, 939, 68, 1, 131
net2, net2-10-60, 9, 55, 0, 55, 0, 945, 67, 1, 128
net2, net2-10-60, 10, 67, 0, 67, 0, 933, 66, 1, 127
net2, net2-10-60, 11, 49, 0, 49, 0, 951, 65, 1, 126
net2, net2-10-60, 12, 39, 0, 39, 0, 961, 64, 1, 125
net2, net2-10-60, 13, 49, 0, 49, 0, 951, 63, 1, 124
net2, net2-10-60, 14, 54, 0, 54, 0, 946, 62, 1, 123
net2, net2-10-60, 15, 55, 0, 55, 0, 945, 61, 1, 122
net2, net2-10-60, 16, 62, 0, 62, 0, 938, 60, 1, 121
net2, net2-10-60, 17, 55, 0, 55, 0, 945, 59, 1, 120
net2, net2-10-60, 18, 39, 0, 39, 0, 961, 58, 1, 118
net2, net2-10-60, 19, 45, 0, 45, 0, 955, 57, 1, 116
net2, net2-10-60, 20, 45, 0, 45, 0, 955, 56, 1, 113
net2, net2-10-60, 21, 41, 0, 41, 0, 959, 55, 1, 112
net2, net2-10-60, 22, 47, 0, 47, 0, 953, 54, 1, 110
net2, net2-10-60, 23, 47, 0, 47, 0, 953, 53, 1, 109
net2, net2-10-60, 24, 49, 0, 49, 0, 951, 52, 1, 108
net2, net2-10-60, 25, 42, 0, 42, 0, 958, 51, 1, 107
net2, net2-10-60, 26, 54, 0, 54, 0, 946, 50, 1, 105
net2, net2-10-60, 27, 59, 0, 59, 0, 941, 49, 1, 102
net2, net2-10-60, 28, 72, 0, 72, 0, 928, 47, 2, 100
net2, net2-10-60, 29, 45, 0, 45, 0, 955, 46, 1, 99
net2, net2-10-60, 30, 72, 0, 72, 0, 928, 44, 2, 96
net2, net2-10-60, 31, 43, 0, 43, 0, 957, 43, 1, 94
net2, net2-10-60, 32, 73, 0, 73, 0, 927, 41, 2, 89
net2, net2-10-60, 33, 39, 0, 39, 0, 961, 40, 1, 88
net2, net2-10-60, 34, 33, 0, 33, 0, 967, 39, 1, 87
